case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
A12/1591/19,,,Motor vehicles,Passenger car,Citroën,"C3IV,C4cactus,Picasso,C-Elysée,spacetourer,jumpy4","e2*2007/46*0003*51, e2*2007/46*0003*52, e2*2007/46*0003*53, e2*2007/46*0440*11, e2*2007/46*0440*12, e2*2007/46*0356*16, e2*2007/46*0356*18, e2*2007/46*0225*10, e2*2007/46*0530*06 code GLT","C3IV 27/9/17-19/6/18:VF7SWYHYSJT608042-VF7SXYHYSJT617422,4cactus 12/12/17-25/6/18:VF70BYHYJHE557764-VF70BYHYJJE542850C4P. 25/1/18-19/618:VF73AYHZPJJ576245-VF73EYHZRJJ648085,CElysée 15/12/17-19/3/18:VF7DDYHYSHJ889123-VF7DDYHYSJJ575902, Space/jumpy 30/5/17-22/5/18:VF7VAYHRKJZ025482-VF7VAYHVKJZ038341",,,Environment,"A plastic component inside the exhaust line of the particulate filter could damage the diesel particulate filter (DPF). Depending on the amount of damage, the particulate emission level could exceed regulatory limits.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 12/04/2019,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/388680,
A12/1592/19,,,Motor vehicles,Passenger car,Citroën and DS,"C3Picasso, C4Picasso, C4II, DS3, DS4, DS5","e2*2001/116*0371*26, e2*2007/46*0356*08, e2*2007/46*0356*09, e2*2007/46*0040*21, e2*2007/46*0040*22, e2*2007/46*0040*24, e2*2007/46*0040*25, e2*2007/46*0003*34, e2*2007/46*0003*36, e2*2007/46*0092*07, e2*2007/46*0092*08, e2*2007/46*0092*09, e2*2007/46*0092*11, e2*2007/46*0079*11, e2*2007/46*0003*27, e2*2007/46*0003*29, e2*2007/46*0003*31, e2*2007/46*0003*32, , e2*2007/46*0092*13, e2*2007/46*0092*14, e2*2007/46*0093*04, e2*2007/46*0093*05, e2*2007/46*0093*07, e2*2007/46*0093*10Code GUM","C3pica:24/11/15-24/11/15:VF7SHBHY6FT581987-VF7SHBHY6FT581987,C4picasso:05/06/14-24/07/15:VF73DBHZMEJ696964 -VF73EBHXMFJ767016C4/DS4:23/05/14-05/10/15:VF7NCBHZMEY547718-VF7NXBHXMFY558936,DS3:25/9/13-22/10/15:VF7SABHZMDW627120-VF7SABHZMFW657455,DS5:12/7/13-28/10/15:VF7KFBHZMDS512693-VF7KFBHZMFS521239",,,Environment,Poor calibration might cause the exhaust emissions' level of nitrogen oxides (NOx) to exceed regulated limits. Nitrogen oxides are harmful to human health and the environment.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 19/09/2019,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/388704,
A12/1597/19,,,Motor vehicles,Passenger car,Volvo,"V40, V40CC, V60, S60",- Vehicles equipped with four-cylinder diesel engine D4204T8 (engine code 74);- Production period: 2012 and 2019.,The affected vehicles were manufactured between 2012 and 2019.,,,"Fire, Injuries","Excessive carbon deposits could build up in the intake system of the engine. Additionally, the intake valve could leak. Consequently, the temperature of the intake air could rise, causing the engine intake manifold to melt and deform. This could lead to the engine to stop increasing the risk of accidents or even the engine bay to catch fire.",,,Type of economic operator taking notified measure(s): DistributorCategory of measure(s): Recall of the product from end usersDate of entry into force: 27/09/2019,,Passenger car under Volvo Recall code: 29946.,Portugal,Sweden,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/389765,
A12/1513/19,,,Motor vehicles,Passenger car,Mercedes-Benz,GLE,Type-approval numbers: e1*2007/46*1885*03-04 Type: H1GLE (BR 167),The affected vehicles were manufactured between 23 August 2018 and 5 August 2019.,,,Injuries,"The drain hose of the air conditioning system may not have been correctly installed. Consequently, condensed water could enter the passenger compartment and damage or short-circuit several electric components, causing the engine to stop or run in emergency mode while driving, increasing the risk of accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Mercedes-Benz Recall code: 8391101,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/386949,
A12/1514/19,,,Motor vehicles,Passenger car,Mercedes-Benz,S-Class,"Type-approval number: e1*2001/116*0335*36-39, e1*2001/116*0396*20 Type: 221, 221 AMG (BR 217, 222)",The affected vehicles were manufactured between 06 June 2018 and 04 September 2018.,,,Injuries,"The A, B and C pillar trims may not have been correctly fastened. In the event of an accident, the trims may impair the efficacy of the window airbags. If the window airbags are deployed, the trims might be detached and propelled into the passenger compartment, increasing the risk of injuries.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Mercedes-Benz Recall code: 6391004,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/386969,
A12/1515/19,,,Motor vehicles,Passenger car,A-Class,Mercedes-Benz,Type-approval number: e1*2007/46*1829*00-02; type: F2A;,The affected vehicles were manufactured between 19/01/2018 and 18/07/2018.,,,Injuries,"The strength of the material of the shielding plate under the spare wheel might not be appropriate. Consequently, cracks could form on the plate, leading to its complete shear and loss of small parts of it, increasing the risk accident of following traffic.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Mercedes-Benz Recall code: 6490002.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/387520,
A12/1516/19,,,Motor vehicles,Passenger car,Audi,"A4, A5",Type-approval number: e1*2001/116*0430*; type: B8,The affected vehicles were manufactured in calendar weeks 21 and 22/2019.,,,Injuries,"A damaged transistor may have been installed in the airbag control unit. Consequently, it may not properly make contact leading to the passenger airbag not to be triggered in the event of an accident, increasing the risk of injuries.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Audi Recall code: 69Z7.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/387753,
A12/1491/19,,,Motor vehicles,Passenger car,Bmw,"X1, X2, 2","Type-approval numbers: e1*2007/46*1824, e1*2007/46*1675, e1*2007/46*1677, e1*2007/46*1676; type: F2X, F2AT, F2GT, F1X",The affected vehicles were manufactured between 5.8.2016 and 8.4.2019.,,,Injuries,"A spherical-collar disk is missing on the tie rod end  of the steering gear. Consequently, the steering gear might break due to excessive wear, leading to a loss of steering control, increasing the risk of accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under BMW Recall code: 0032890200,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/385473,
A12/1492/19,,,Motor vehicles,Passenger car,Skoda,Octavia,"Type-approval numbers: e11*2007/46*0243*, e8*2007/46*0318*; type: 5E",The affected vehicles were manufactured between 4 June 2019 and 7 June 2019.,,,Injuries,"Unsuitable front-axle springs may have been fitted in the vehicle. Consequently, the driving stability might be impaired, increasing the risk of accidents.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Skoda recall code: 40O7 .,Germany,Czechia,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/386487,
A12/1509/19,,,Motor vehicles,Passenger car,Audi,A3,Type-approval number: e1 * 2007/46 * 0607 *; type: 8V,The affected vehicles were manufactured between December 2013 and September 2014.,,,Injuries,"The camshaft drive belt may not be resistant enough. Consequently, it may break or lead to the camshaft-phaser screws to loosen up and the engine oil to leak onto the roadway, increasing the risk of accident to following traffic.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Audi Recall code: 15H3.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/386603,
A12/1466/19,,,Motor vehicles,Passenger car,Mercedes-Benz,SL,"Type-approval numbers: e1*98/14*0169*26-29, e1*2001/116*0248*13-14 types: 230, 230 AMG; series: BR 231",The affected vehicles were manufactured between 20 March and 22 November 2018.,,,Injuries,"The passenger airbag may not have been sewn together in accordance with the specifications. As a result, the seam at the edges can rip open when it is deployed. This may compromise the airbag's restraining effect in the event of an accident, increasing the risk of an injury.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Mercedes-Benz recall code: 9193002.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/385321,
A12/1474/19,,,Motor vehicles,Passenger car,Bmw,3 series,"Type-approval number: e1*2007/46*1947, e1*2007/46*2017; type: G3L, G3K",The affected vehicles were manufactured between 28 June and 1 August 2019.,,,Injuries,"The head restraint interlock of the rear center seat may not have been welded sufficiently to the head restraint support rod bracket and could break. This could cause an inadvertent folding down of the head restraint in case of a rear impact, increasing the risk of an injury.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under BMW recall code: 0052910100.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/385919,
A12/1475/19,,,Motor vehicles,Passenger car,Audi,"A3, Q2","Type-approval numbers: e1*2007/46*1552***, e1*2007/46*0607***;  types: GA, 8V",The affected vehicles were manufactured between 17 February and 1 March 2019.,,,Injuries,"The headrest fitting on the rear seats may be defective. As a result, the support and protection provided by the headrest in the event of an accident could be impaired, increasing the risk of an injury.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Audi recall code: 72I5.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/386023,
A12/1472/19,,,Motor vehicles,Passenger car,Peugeot,3008 II,"Type-approval numbers: e2*2007/46*0534*09, e2*2007/46*0534*11; VIN range: VF3MJEHZRKS258555 to VF3MJEHZRKS262193",The affected vehicles were manufactured between 28 and 29 May 2019.,,,Injuries,"The lower part of the seatbelt on the backseats may not be attached. This will impair the seatbelt's restraining function, increasing the risk of injury in the event of a collision.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 04/09/2019,,Passenger car under Peugeot recall code: JQY.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/386276,
A12/1436/19,,,Motor vehicles,Passenger car,Citroën,C3 IV,"Type-approval numbers: e2*2007/46*0003*56, e2*2007/46*0003*57, e2*2007/46*0060*23; VIN range: VF7SXHMRVKT635888 and VFSXHNPYKT639941",The affected vehicles were manufactured between 27 June 2019 and 29 June 2019.,,,Injuries,"The airbag control unit may be defective. As a result, the airbags could fail to inflate in the event of an accident, increasing the risk of an injury to the occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/08/2019,,Passenger car under Citroën recall code: GXR.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/383967,
A12/1430/19,,,Motor vehicles,Passenger car,Porsche,"911, Boxster, Cayman, Panamera","Type-approval number: e13*2007/46*1187*, e13*2007/46*1188*, e13*2007/46*1187*, e13*KS07/46*0991*, e13*2007/46*1607*, e13*2007/46*0970*, e13*2007/46*1143*, e13*2007/46*1160*, e13*2007/46*1161* , Types: 991, 991 Turbo, 991H, 982, 970, 970N, 970HN, 970H",The affected vehicles were manufactured between 23 June 2015 and 16 June 2016.,,,Injuries,"A defective capacitor may cause voltage fluctuations in the power supply of the airbag control unit. As a result, the airbags and the seatbelt pre-tensioners may deploy unexpectedly or fail to deploy in the event of an accident, increasing the risk of injury to the occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/384431,
A12/1431/19,,,Motor vehicles,Passenger car,Porsche,"Carrera, Boxster, Cayman","Type-approval numbers: e13*2007/46*1607, e13*2007/46*1187* Types: 982, 991",The affected vehicles were manufactured between 12 January 2018 and 17 June 2019.,,,Injuries,"Possible faulty construction of the door moulding causes the sensors of the vehicle occupant protection system to be activated incorrectly. This may result in unnecessary and unexpected deployment of the occupant protection system, increasing the risk of injury.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Porsche code: AKB3.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/384466,
A12/1429/19,,,Motor vehicles,Passenger car,Peugeot,308II,"e2*2007/46*0405*16, e2*2007/46*0405*18",Vehicles manufactured between 12/01/2017 and 30/03/2018 - VIN: VF3LHEZRHS028975 to VF3LJEHZRJ5174718 Peugeot code : JDF,,,Environment,"As a result of an incorrectly calibrated engine, the diesel particulate filter (DPF) could be damaged. Depending on the amount of damage, the particulate emission level could exceed regulatory limits.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 03/09/2019,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/384716,
A12/1438/19,,,Motor vehicles,Passenger car,Renault,Mégane RS,Type-approval number: e2*2007/46*0546*08 to *14,The affected vehicles were manufactured from the beginning of production until 6 May 2019.,,,Injuries,"The oil-pressure solenoid valve may be defective and could malfunction. This may result in engine failure, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 16/09/2019,,"Passenger cars with M5P engine, manufactured at the Palencia plant under Renault recall code: 0D4W.",France,Spain,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/384732,
A12/1432/19,,,Motor vehicles,Passenger car,Seat,"Ateca, Tarraco","Type-approval numbers: e9*2007/46*6394*, e9*2007/46*6666*; types: 5FP, KN",The affected vehicles were manufactured in 2019.,,,Injuries,"Possible development of cracks in the mounting of the left-hand front seat. This can reduce its protective function in case of an accident, increasing the risk of injury.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Seat recall code: 72J4.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/384771,
A12/1439/19,,,Motor vehicles,Passenger car,VW,Tiguan,Type-approval number: e1*2001/116*0450*##; type: 5N,The affected vehicles were manufactured between 2 and 5 April 2019.,,,Injuries,"The locking nut on the park lock bolt in the gearbox may not have been tightened with the necessary torque. As a result, it could become detached, possibly damaging the gearbox or causing failure of the parking lock, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger cars with 7-speed DSG automatic transmission under VW recall code: 34J3.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/384881,
A12/1440/19,,,Motor vehicles,Passenger car,Mercedes-Benz,GLE,Type-approval number: e1*2007/46*1885*00; type: H1GLE,The affected vehicles were manufactured between 26 June 2018 and 3 December 2018.,,,Injuries,"The functioning of the front passenger airbag may be impaired by extreme vehicle interior temperatures (above 85°C). As a result, there might be a delay in the deployment of the front passenger airbag and/or it might not deploy completely, increasing the risk of injury in the event of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Mercedes-Benz recall code: 9193001.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/385070,
A12/1365/19,,,Motor vehicles,Passenger car,VW,"Tiguan, Sharan, CC","Type-approval numbers: e1*2001/116*0450*, e1*2007/46*0401*, e1*2001/116*0468*; types: 5N, 7N, 3CC",The affected vehicles were manufactured between 6 January 2015 and 22 December 2015.,,,Injuries,"As a result of a production error, a capacitor in the airbag control unit may fail. In rare instances, the control unit may interpret the change in voltage when the capacitor fails as a signal similar to that in a crash and initiate the unwanted activation of the airbag(s) and/or the belt tensioner(s). Unexpected activation of the airbags may increase the risk of injury to the car occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under VW recall code: 69Z5.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/383396,
A12/1366/19,,,Motor vehicles,Passenger car,Fiat,Talento,Type-approval number: e2*2007/46*0497*07; type: FFL,The affected vehicles were manufactured between 28 March 2019 and 23 May 2019.,,,Injuries,"Due to a manufacturing error, the connection of the parking brake cable to the brake calliper may fail. As a result, the handbrake may not work and the vehicle may roll away, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Fiat recall code: 6243.,Germany,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/383404,
A12/1367/19,,,Motor vehicles,Passenger car,Seat,Leon,Type-approval number: e9*2007/46*0094; type: 5F,The affected vehicles were manufactured on 9 April 2019.,,,Injuries,"A lock nut in the automated transmission may loosen. As a result, the transmission may be damaged, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Seat recall code: 34J4.,Germany,Spain,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/383414,
A12/1370/19,,,Motor vehicles,Passenger car,Bmw,"X3, X4","Type-approval numbers: e1*2007/46*1797, e1*2007/46*1881*00; types: G3X, G4X",The affected vehicles were manufactured between 29 May 2018 and 12 June 2019.,,,Injuries,"The front seatbacks may not have been welded according to specifications. As a result, they could fold forward or rearward, increasing the risk of an injury to the occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under BMW recall code: 0052900100.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/383637,
A12/1372/19,,,Motor vehicles,Passenger car,Jeep,Renegade,Type-approval number: e3*2007/46*0300*22; type: BU,The affected vehicles were produced between 13 March 2018 and 6 April 2019.,,,Injuries,"The airbag control unit may be defective. As a result, the functioning of the airbags and belt tensioners can be impaired, increasing the risk of injury in the event of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Jeep recall code: V42.,Germany,Italy,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/383911,
A12/1374/19,,,Motor vehicles,Passenger car,Maserati,"Granturismo, Grancabrio","Type-approval numbers: e3*2001/116*0262*15, e3*2001/116*0262*16, e3*KS07/46*0072*05; type: M 145",The affected vehicles are from model years 2016 to 2020.,,,Injuries,"A capacitor in the airbag control unit may be defective. As a result, the functioning of the airbags can be impaired, increasing the risk of injury in the event of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Maserati recall code: #386.,Germany,Italy,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/383992,
A12/1331/19,,,Motor vehicles,Passenger car,McLaren,Senna,"Type-approval numbers: e11*2007/46*3432*08 to *12, e5*2007/46*1205*00, e5*2007/46*1205*01",The affected vehicles were manufactured between 21 June 2018 and 20 June 2019.,,,Fire,"A branch of the vehicle engine harness can potentially come into contact with a metal link pipe heatshield which could lead to damage to the wires contained within the harness bundle. This will result in the continued fuelling of the engine, leading to increased catalyst temperatures and to increased risk of fire.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 21/08/2019,,Passenger car.,United Kingdom,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/382236,
A12/1333/19,,,Motor vehicles,Passenger car,Opel,Zafira,"Type-approval numbers: e4*2007/46*0204*04 - 34, e4*2007/46*0308*02, e4*2007/46*0308*04 - 09; types: P-J/SW, P-J/SW/V",The affected vehicles were manufactured between August 2011 and January 2019.,,,Injuries,"As a result of a manufacturing error, the roof rail is not sufficiently strong. In the event of a rear collision, any objects secured there could fall from the vehicle and end up on the road, posing a risk to the following traffic.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Opel recall code: E19-1900240 (19-C-093).,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/382742,
A12/1334/19,,,Motor vehicles,Passenger car,Toyota and Lexus,"Avensis, Avensis Verso, Corolla, Yaris and SC430","e11*98/14*0181, e11*2001/116*0181), Yaris (e11*2001/116*0248, e11*2001/116*0249, e6*98/14*0064, e6*2001/116*0064, e2*98/14*0248, e2*2001/116*0248), SC430 (e6*98/14*0084, e6*2001/116*0084), type approval number: Avensis (e11*2001/116*0196), Avensis Verso (e6*98/14*0083, e6*2001/116*0083), Corolla (e11*98/14*0179, e11*2001/116*0179, e11*98/14*0180, e11*2001/116*0180,",The affected vehicles were manufactured between 2001 and 2011.,,,Injuries,"The ammonium nitrate propellant used in the airbag inflator may degrade over time due to propellant degradation occurring after prolonged exposure to high absolute humidity, high temperatures and high-temperature cycling. In the event of an airbag being deployed, the excessive internal pressure may cause the inflator body to rupture and metal fragments may pass through the cushion material causing injury to the occupants.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger cars equipped with Takata airbags.,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/382902,
A12/1361/19,,,Motor vehicles,Passenger car,Kia,Optima,Type JF,The affected vehicles are from model years 2019 and 2020.,,,Injuries,"A software error in the Forward Collision-Avoidance Assist system may cause the brake assist function not to engage as expected. As a result, the system may not detect another vehicle standing in front of the moving car, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 31/07/2019,,Passenger car.,Poland,Republic of Korea,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/383802,
A12/1316/19,,,Motor vehicles,Passenger car,Alpina,Alpina B5 and B6,,The affected vehicles were manufactured between 5 February 2002 and 27 July 2010.,,,"Burns, Fire",A cable terminal at the battery transfer point may be defective. This could cause power failure and may lead to an increased risk of fire.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Alpina recall code: 0061070500.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/380222,
A12/1325/19,,,Motor vehicles,Passenger car,Bmw,"X5, X6, X7","Type-approval numbers: e1*2007/46*1918*00, e1*2007/46*0412*17, e1*2007/46*1952*; types: G5X, X6, G7X",The affected vehicles were manufactured on 24 January 2019.,,,Injuries,"The nuts on the left-hand side wheels may not have been tightened in accordance with the specifications. This may cause a wheel to detach from the vehicle, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under BMW recall code: 0036090200.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/382060,
A12/1328/19,,,Motor vehicles,Passenger car,Audi,Q5,Type-approval number: e1*2007/46*1550*; type: FY,The affected vehicles were manufactured in November 2018.,,,Injuries,"During the production of the instrument panel, the welding of a joint may not have been executed in line with the specifications in the area where the passenger airbag is attached to the control panel. As a result, the airbag may be damaged during deployment, reducing its protective capacity and increasing the risk of an injury.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Audi recall code: 90N1.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/382205,
A12/1317/19,,,Motor vehicles,Passenger car,Audi,e-Tron,Type approval number: e1*2007/46*1914 Type: GE,The affected vehicles were manufactured between December 2018 and March 2019.,,,Fire,"Due to a faulty seal, moisture could reach the high voltage battery through the cabling of the charging socket and the electronics box. Consequently the high-voltage system could short-circuit increasing the risk of fire.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Audi recall code: 93E8.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/382244,
A12/1330/19,,,Motor vehicles,Passenger car,Hyundai,Veloster,Type-approval number: e11*2007/46*0194*04; type: FS,The affected vehicles were manufactured between 1 December 2011 and 17 November 2014.,,,"Fire, Injuries",The engine management software could cause premature ignition of the air/fuel mixture in the engine cylinder. Pre-ignition could cause excessive cylinder pressure eventually leading to engine damage. This could lead to an engine stall in motion and to increased risk of fire.,,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Hyundai recall code: 91C018.,Portugal,Republic of Korea,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/382482,
A12/1282/19,,,Motor vehicles,Passenger car,Bmw,"M5, X5, X7, 7, 8","Type-approval number: e1*2007/46*1828*00, e1*2007/46*1918, e1*2007/46*1952, e1*2007/46*0276, e1*2007/46*1906; types: F5LM, G5X, G7X, 7L, G8C",The affected vehicles were manufactured between 18 July 2018 and 24 June 2019.,,,Fire,Due to inadequate screwing the high-pressure pump could become detached and fuel may leak out. This could lead to engine failure and to increased risk of the vehicle catching fire.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under BMW recall code: 0013090300.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/380480,
A12/1287/19,,,Motor vehicles,Passenger car,VW,Tiguan,Type-approval number: e1*2001/116*0450*; type: 5N,The affected vehicles  were manufactured between 4 and 14 February 2019.,,,Injuries,"Due to a manufacturing defect, the left-hand front seat (in the direction of travel) may develop cracks on the right-hand side of the seat frame/seat pan. Cracks may affect the strength of the seat's structure which could cause the seatback to collapse in the event of an accident, increasing the risk of injury for passengers.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under VW recall code: 72J5.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/381097,
A12/1288/19,,,Motor vehicles,Passenger car,Mercedes-Benz,GLE,Type-approval number: e1*2007/46*1885*00-03; type: H1GLE,The affected vehicles were manufactured between 27 June 2018 and 25 April 2019.,,,Injuries,"A small opening may have been melted into the floor due to incorrect welding of a weld stud. Consequently, water may ingress into the right-hand side of the vehicle's interior/footwell. As a result, various electrical contacts (including for the internal combustion engine, the lighting and the windscreen wipers) could then become wet. This could affect their functioning, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Mercedes-Benz recall code: 6190203.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/381342,
